LOGICAL_TRANSFORMATION_RULE_ID,SEMANTIC_TRANSFORMATION_RULE_ID,ALGORITHM,ADDITIONAL_FILTERS,SOURCE_LAYER,DESTINATION_LAYER,TRANSFORMATION_TYPE,VALID_FROM,VALID_TO
WUDEN__BIRD_PRTCTN_ARRNGMNT_EIL_1__01_01_1990,WUDEN__BIRD_PRTCTN_ARRNGMNT_EIL_1__01_01_1990,1,,ELDM,EIL,WUDEN,1990-01-01,9999-12-31
DER__BIRD_EXCHNG_TRDBL_DRVTV_PSTN_RL_EIL_1__TM_SNC_INTL_RCGNTN__01_01_1990,TM_SNC_INTL_RCGNTN_TR,"SET TM_SNC_RCGNTN = BIRD_CLLTRL_IL.DT_RFRNC - BIRD_CLLTRL_IL.TKN_PSSSSN_DT,
        BIRD_EXCHNG_TRDBL_DRVTV_PSTN_RL_EIL.TM_SNC_INTL_RCGNTN = 
            CASE
                WHEN TM_SNC_RCGNTN/365 > 0 AND TM_SNC_RCGNTN/365 <= 1 THEN 20
                WHEN TM_SNC_RCGNTN/365 > 1 AND TM_SNC_RCGNTN/365 <= 2 THEN 27
                WHEN TM_SNC_RCGNTN/365 > 2 AND TM_SNC_RCGNTN/365 <= 5 THEN 29
                WHEN TM_SNC_RCGNTN/365 > 5 THEN 37
            END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_INSTRMNT_RL_EIL_1__TM_SNC_INTL_RCGNTN__01_01_1990,TM_SNC_INTL_RCGNTN_TR,"SET TM_SNC_RCGNTN = BIRD_INSTRMNT_RL_IL.DT_RFRNC - BIRD_INSTRMNT_RL_IL.TKN_PSSSSN_DT,
        BIRD_INSTRMNT_RL_EIL.TM_SNC_INTL_RCGNTN = 
            CASE
                WHEN TM_SNC_RCGNTN/365 > 0 AND TM_SNC_RCGNTN/365 <= 1 THEN 20
                WHEN TM_SNC_RCGNTN/365 > 1 AND TM_SNC_RCGNTN/365 <= 2 THEN 27
                WHEN TM_SNC_RCGNTN/365 > 2 AND TM_SNC_RCGNTN/365 <= 5 THEN 29
                WHEN TM_SNC_RCGNTN/365 > 5 THEN 37
            END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_INVSTMNT_PRPRTY_TKN_PSSSSN_EIL_1__TM_SNC_INTL_RCGNTN__01_01_1990,TM_SNC_INTL_RCGNTN_TR,"SET TM_SNC_RCGNTN = BIRD_CLLTRL_IL.DT_RFRNC - BIRD_CLLTRL_IL.TKN_PSSSSN_DT,
        BIRD_INVSTMNT_PRPRTY_TKN_PSSSSN_EIL.TM_SNC_INTL_RCGNTN = 
            CASE
                WHEN TM_SNC_RCGNTN/365 > 0 AND TM_SNC_RCGNTN/365 <= 1 THEN 20
                WHEN TM_SNC_RCGNTN/365 > 1 AND TM_SNC_RCGNTN/365 <= 2 THEN 27
                WHEN TM_SNC_RCGNTN/365 > 2 AND TM_SNC_RCGNTN/365 <= 5 THEN 29
                WHEN TM_SNC_RCGNTN/365 > 5 THEN 37
            END;",,IL,EIL,DER,1990-01-01,9999-12-31
DER__BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL_1__TM_SNC_INTL_RCGNTN__01_01_1990,TM_SNC_INTL_RCGNTN_TR,"SET TM_SNC_RCGNTN = BIRD_CLLTRL_IL.DT_RFRNC - BIRD_CLLTRL_IL.TKN_PSSSSN_DT,
        BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL.TM_SNC_INTL_RCGNTN = 
            CASE
                WHEN TM_SNC_RCGNTN/365 > 0 AND TM_SNC_RCGNTN/365 <= 1 THEN 20
                WHEN TM_SNC_RCGNTN/365 > 1 AND TM_SNC_RCGNTN/365 <= 2 THEN 27
                WHEN TM_SNC_RCGNTN/365 > 2 AND TM_SNC_RCGNTN/365 <= 5 THEN 29
                WHEN TM_SNC_RCGNTN/365 > 5 THEN 37
            END;",,IL,EIL,DER,1990-01-01,9999-12-31
WUDEN__BIRD_RTNG_GRD_CNTRL_BNK_PRVT_SCTR_CMPN_ASSGNMNT_EIL_1__01_01_1990,WUDEN__BIRD_RTNG_GRD_CNTRL_BNK_PRVT_SCTR_CMPN_ASSGNMNT_EIL_1__01_01_1990,1,,ELDM,EIL,WUDEN,1990-01-01,9999-12-31
WUDEN__BIRD_LNG_SCRTY_PSTN_PRTCTN_ARRNGMNT_GVN_ASSGNMNT_EIL_1__01_01_1990,WUDEN__BIRD_LNG_SCRTY_PSTN_PRTCTN_ARRNGMNT_GVN_ASSGNMNT_EIL_1__01_01_1990,1,,ELDM,EIL,WUDEN,1990-01-01,9999-12-31
WUDEN__BIRD_PRTY_PRVS_PRD_DT_EIL_1__01_01_1990,WUDEN__BIRD_PRTY_PRVS_PRD_DT_EIL_1__01_01_1990,1,,ELDM,EIL,WUDEN,1990-01-01,9999-12-31
WUDEN__BIRD_CLLTRL_RL_EIL_1__01_01_1990,WUDEN__BIRD_CLLTRL_RL_EIL_1__01_01_1990,1,,ELDM,EIL,WUDEN,1990-01-01,9999-12-31
WUDEN__BIRD_RTNG_SYSTM_EIL_1__01_01_1990,WUDEN__BIRD_RTNG_SYSTM_EIL_1__01_01_1990,1,,ELDM,EIL,WUDEN,1990-01-01,9999-12-31
WUDEN__BIRD_MSTR_AGRMNT_EIL_1__01_01_1990,WUDEN__BIRD_MSTR_AGRMNT_EIL_1__01_01_1990,1,,ELDM,EIL,WUDEN,1990-01-01,9999-12-31
WUDEN__BIRD_CSH_HND_EIL_1__01_01_1990,WUDEN__BIRD_CSH_HND_EIL_1__01_01_1990,1,,ELDM,EIL,WUDEN,1990-01-01,9999-12-31
DER__BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL_1__TRNSFR_IMPRMNT_STGS__01_01_1990,TRNSFR_IMPRMNT_STGS_TR,"SET BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_EIL.TRNSFR_IMPRMNT_STGS =
        CASE
            WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.INTL_IMPRMNT_STTS = 23
                THEN
                    CASE
                        WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.IMPRMNT_STTS = 24 THEN 3
                        WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.IMPRMNT_STTS = 25 THEN 5
                    END

            WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.INTL_IMPRMNT_STTS = 24
                THEN
                    CASE
                        WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.IMPRMNT_STTS = 23 THEN 1
                        WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.IMPRMNT_STTS = 25 THEN 6
                    END

            WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.INTL_IMPRMNT_STTS = 25
                THEN
                    CASE
                        WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.IMPRMNT_STTS = 23 THEN 2
                        WHEN BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IL.IMPRMNT_STTS = 24 THEN 4
                    END
        END;",,IL,EIL,DER,1990-01-01,9999-12-31
GEN_L__F_01.01_REF__01_01_1990,F_01.01_TR,,,EIL,ROL,GEN,1990-01-01,9999-12-31
GEN_L__F_01.02_REF__01_01_1990,F_01.02_TR,,,EIL,ROL,GEN,1990-01-01,9999-12-31
GEN_L__F_04.01_REF__01_01_1990,F_04.01_TR,,,EIL,ROL,GEN,1990-01-01,9999-12-31
GEN_L__F_04.02.1_REF__01_01_1990,F_04.02.1_TR,,,EIL,ROL,GEN,1990-01-01,9999-12-31
GEN_L__F_04.02.2_REF__01_01_1990,F_04.02.2_TR,,,EIL,ROL,GEN,1990-01-01,9999-12-31
GEN_L__F_04.03.1_REF__01_01_1990,F_04.03.1_TR,,,EIL,ROL,GEN,1990-01-01,9999-12-31
GEN_L__F_04.04.1_REF__01_01_1990,F_04.04.1_TR,,,EIL,ROL,GEN,1990-01-01,9999-12-31
DER__BIRD_INSTRMNT_RL_EIL_1__TRNSFR_IMPRMNT_STGS__01_01_1990,TRNSFR_IMPRMNT_STGS_TR,"SET BIRD_INSTRMNT_RL_EIL.TRNSFR_IMPRMNT_STGS =
        CASE
            WHEN BIRD_INSTRMNT_RL_IL.INTL_IMPRMNT_STTS = 23
                THEN
                    CASE
                        WHEN BIRD_INSTRMNT_RL_IL.IMPRMNT_STTS = 24 THEN 3
                        WHEN BIRD_INSTRMNT_RL_IL.IMPRMNT_STTS = 25 THEN 5
                    END

            WHEN BIRD_INSTRMNT_RL_IL.INTL_IMPRMNT_STTS = 24
                THEN
                    CASE
                        WHEN BIRD_INSTRMNT_RL_IL.IMPRMNT_STTS = 23 THEN 1
                        WHEN BIRD_INSTRMNT_RL_IL.IMPRMNT_STTS = 25 THEN 6
                    END

            WHEN BIRD_INSTRMNT_RL_IL.INTL_IMPRMNT_STTS = 25
                THEN
                    CASE
                        WHEN BIRD_INSTRMNT_RL_IL.IMPRMNT_STTS = 23 THEN 2
                        WHEN BIRD_INSTRMNT_RL_IL.IMPRMNT_STTS = 24 THEN 4
                    END
        END;",,IL,EIL,DER,1990-01-01,9999-12-31
